2025-08-02 20:10:39 | WARNING  | src.data.data_fetcher:get_financial_data:291 - 财务数据需要Tushare Pro支持
2025-08-02 20:10:39 | DEBUG    | src.ai.feature_engineer:_add_technical_features:166 - 使用pandas替代talib计算技术指标
2025-08-02 20:10:39 | DEBUG    | src.ai.feature_engineer:_calculate_indicators_pandas:1028 - pandas技术指标计算完成
2025-08-02 20:10:40 | DEBUG    | src.ai.feature_engineer:_clean_features:889 - 移除常数列: ['max_20', 'positive_return_ratio_20', 'up_streak_20', 'breakout_high_20', 'volatility_regime', 'quarter', 'is_quarter_start', 'is_quarter_end', 'is_year_start', 'is_year_end']
2025-08-02 20:10:40 | DEBUG    | src.ai.feature_engineer:create_features:92 - 生成特征数量: 158
2025-08-02 20:10:40 | DEBUG    | src.ai.ml_models:_preprocess_features:385 - 移除高相关性列: ['oc_ratio', 'ema_12', 'ema_12_ratio', 'bb_middle', 'bb_lower', 'bb_width', 'atr', 'cv_5', 'max_5', 'min_5', 'mean_10', 'std_10', 'cv_10', 'max_10', 'min_10', 'mean_20', 'std_20', 'cv_20', 'skew_20', 'min_20', 'rank_20', 'return_mean_5', 'up_streak_5', 'return_mean_10', 'positive_return_ratio_10', 'up_streak_10', 'down_streak_10', 'return_mean_20', 'return_std_20', 'return_skew_20', 'return_kurt_20', 'down_streak_20', 'volume_ma_5', 'volume_ma_10', 'volume_ratio_10', 'volume_ma_20', 'volume_ratio_20', 'price_volume_corr_20', 'volume_percentile', 'trend_strength_10', 'trend_slope_20', 'trend_strength_20', 'price_distance_ma_5', 'price_distance_ma_10', 'price_above_ma_20', 'price_distance_ma_20', 'breakdown_low_20', 'volatility_5', 'volatility_5_annualized', 'volatility_10', 'volatility_10_annualized', 'volatility_20', 'volatility_20_annualized', 'true_range', 'atr_ratio_14', 'atr_20', 'atr_ratio_20', 'gk_volatility_10', 'gk_volatility_20', 'relative_volatility_5_20', 'relative_position_20', 'distance_from_high_20', 'distance_from_low_20', 'percentile_rank_20', 'is_month_start', 'is_month_end', 'volatility_volume_interaction', 'rsi_14_lag_1', 'ma_5_ratio_lag_1', 'ma_5_ratio_lag_2', 'ma_10_lag_1', 'ma_10_lag_2']
2025-08-02 20:10:40 | WARNING  | src.ai.stock_analyzer:_generate_recommendation:1032 - 生成投资建议失败: '>=' not supported between instances of 'dict' and 'int'
2025-08-02 20:10:40 | WARNING  | src.ai.stock_analyzer:_generate_trading_signals:879 - 生成交易信号失败: '>=' not supported between instances of 'dict' and 'int'
2025-08-02 20:12:44 | INFO     | __main__:cli:45 - 股票AI分析助手启动
2025-08-02 20:12:44 | INFO     | __main__:web:52 - 启动Web界面: http://localhost:8506
2025-08-02 20:38:26 | INFO     | __main__:cli:45 - 股票AI分析助手启动
2025-08-02 20:38:26 | INFO     | __main__:analyze:60 - 开始分析股票: 000001
2025-08-02 20:38:26 | INFO     | src.data.data_processor:__init__:16 - 数据处理器初始化成功
2025-08-02 20:38:26 | INFO     | src.data.akshare_client:__init__:20 - AkShare客户端初始化成功
2025-08-02 20:38:26 | INFO     | src.data.data_fetcher:__init__:42 - AkShare客户端初始化成功
2025-08-02 20:38:26 | INFO     | src.data.data_fetcher:__init__:49 - 数据获取器初始化完成
2025-08-02 20:38:26 | WARNING  | src.ai.feature_engineer:__init__:19 - 特征工程模块部分功能禁用 - 等待依赖安装
2025-08-02 20:38:26 | INFO     | src.ai.feature_engineer:__init__:22 - 特征工程器初始化完成
2025-08-02 20:38:26 | INFO     | src.ai.ml_models:__init__:28 - 机器学习模型管理器初始化中...
2025-08-02 20:38:26 | INFO     | src.ai.ml_models:__init__:113 - 机器学习模型管理器初始化完成
2025-08-02 20:38:26 | INFO     | src.ai.risk_manager:__init__:22 - 风险管理器初始化完成
2025-08-02 20:38:26 | INFO     | src.ai.stock_analyzer:__init__:28 - 股票AI分析器初始化完成
2025-08-02 20:38:26 | INFO     | src.data.data_fetcher:get_stock_data:138 - 获取股票000001.SZ数据，周期：1d(2025-08-01 到 2025-08-02)
2025-08-02 20:38:26 | INFO     | src.data.akshare_client:get_daily_data:126 - 获取000001日线数据成功，共1条记录
2025-08-02 20:38:27 | INFO     | src.data.data_processor:clean_data:85 - 数据清洗完成，处理了0行重复数据
2025-08-02 20:38:27 | WARNING  | src.data.data_processor:create_features:341 - 数据长度1小于窗口大小20，跳过特征创建
2025-08-02 20:38:27 | WARNING  | src.data.data_fetcher:get_financial_data:291 - 财务数据需要Tushare Pro支持
2025-08-02 20:38:27 | DEBUG    | src.ai.feature_engineer:_add_technical_features:166 - 使用pandas替代talib计算技术指标
2025-08-02 20:38:27 | DEBUG    | src.ai.feature_engineer:_calculate_indicators_pandas:1028 - pandas技术指标计算完成
2025-08-02 20:38:27 | DEBUG    | src.ai.feature_engineer:_clean_features:889 - 移除常数列: ['close', 'open', 'high', 'low', 'hl_ratio', 'oc_ratio', 'ho_ratio', 'lo_ratio', 'price_position', 'volume', 'volume_up_trend', 'volume_down_trend', 'consecutive_up', 'consecutive_down', 'gk_volatility', 'day_of_week', 'is_monday', 'is_friday', 'month', 'quarter', 'is_month_start', 'is_month_end', 'is_quarter_start', 'is_quarter_end', 'is_year_start', 'is_year_end', 'days_from_year_start']
2025-08-02 20:38:27 | DEBUG    | src.ai.feature_engineer:create_features:92 - 生成特征数量: 0
2025-08-02 20:38:27 | WARNING  | src.ai.stock_analyzer:_generate_recommendation:1032 - 生成投资建议失败: '>=' not supported between instances of 'dict' and 'int'
2025-08-02 20:38:27 | WARNING  | src.ai.stock_analyzer:_generate_trading_signals:879 - 生成交易信号失败: '>=' not supported between instances of 'dict' and 'int'
